Publisher,Time,Author,Title
Wiley,1/4/13,Kevin B. Wright,Health Communication in the 21st Century / Edition 2
Jones & Bartlett Learning,2/14/13,Sharon B. Buchbinder,Cases In Health Care Management
Rutgers University Press,7/31/12,Meredith Minkler,Community Organizing and Community Building for Health and Welfare / Edition 3
Pearson,2/24/15,Donita T D'Amico,Health & Physical Assessment In Nursing / Edition 3
Jones & Bartlett Learning,2/21/17,William O. Cleverley,Essentials Of Health Care Finance / Edition 8
Jones & Bartlett Learning,8/14/15,Nancy Borkowski,"Organizational Behavior, Theory, And Design In Health Care / Edition 2"
Jones & Bartlett Learning,3/15/13,Louis G. Rubino,New Leadership For Today's Health Care Professionals
Jones & Bartlett Learning,8/5/16,Martha Bradshaw,Innovative Teaching Strategies In Nursing And Related Health Professions / Edition 7
Jones & Bartlett Learning,3/30/09,Dr. Brenda Freshman,Collaboration Across The Disciplines In Health Care
Pearson,4/4/08,Kathryn W. Heller,"Understanding Physical, Health, and Multiple Disabilities / Edition 2"
Jones & Bartlett Learning,12/16/16,Charles R. McConnell,Umiker's Management Skills For The New Health Care Supervisor / Edition 7
Elsevier Health Sciences,9/27/16,Michelle Morrison-Valfre,Foundations of Mental Health Care / Edition 6
"American Psychiatric Publishing, Incorporated",12/8/15,Robert J. Hilt,DSM-5® Pocket Guide for Child and Adolescent Mental Health
Wiley,5/3/11,Robyn Hart,Therapeutic Activities for Children and Teens Coping with Health Issues / Edition 1
Internet Marketing Business,1/8/15,Roger Radford,"Pot Belly Pigs. Pot Belly Pigs Complete Owners Guide. Pot Bellied Pigs care, health, temperament, training, senses, costs, feeding and activities."
Pearson,1/18/17,Rebecca J. Donatelle,Access To Health / Edition 15
Pearson,5/11/15,Donita T D'Amico,Clinical Pocket Guide for Health & Physical Assessment in Nursing / Edition 3
Mometrix Media LLC,3/31/14,PSB Exam Secrets Test Prep Staff,PSB Health Occupations Exam Practice Questions
Pearson,1/15/17,Marc M. Triola,Biostatistics for the Biological and Health Sciences / Edition 2
Sterling,5/6/14,Jillian Sarno Teta,Natural Solutions for Digestive Health
Jones & Bartlett Learning,8/5/13,George D. Pozgar,Legal and Ethical Essentials Of Health Care Administration / Edition 2
LWW,12/14/17,Jane H. Kelley,Health Assessment in Nursing
Health Administration Press,1/28/15,Paul J. Feldstein,Health Policy Issues
Elsevier Health Sciences,2/15/13,Elaine A. Gillingham,LaFleur Brooks' Health Unit Coordinating / Edition 7
Cengage Learning,1/1/15,Cathie Robertson,"Safety, Nutrition and Health in Early Education / Edition 6"
Pearson,10/10/12,Harold M. Baillie,Health Care Ethics / Edition 6
Internet Marketing Business,5/28/16,Ben Team,"Bearded Dragon Care. Bearded Dragon Pet Owners Guide. Bearded Dragon care, behavior, diet, interacting, costs and health. Bearded dragon."
Cengage Learning,1/1/17,Dianne Hales,"An Invitation to Health, Brief Edition / Edition 10"
Evolution Knowledge Limited,7/31/13,Ann L Fletcher,"Holland Lop Rabbits The Complete Owner's Guide to Holland Lop Bunnies How to Care for your Holland Lop Pet, including Breeding, Lifespan, Colors, Health, Personality, Diet and Facts"
Human Kinetics Publishers,8/28/11,David Chenoweth,Worksite Health Promotion - 3rd Edition / Edition 3
Internet Marketing Business,1/8/15,George Hoppendale,"Mini Goldendoodles. The Ultimate Mini Goldendoodle Dog Manual. Miniature Goldendoodle book for care, costs, feeding, grooming, health and training."
Vanderbilt University Press,6/28/06,Nicholas Freudenberg,Cities and the Health of the Public / Edition 1
IMB Publishing,1/7/15,George Hoppendale,"Pembroke Welsh Corgis. The Ultimate Pembroke Welsh Corgi Dog Manual. Pembroke Welsh Corgi care, costs, feeding, grooming, health and training."
Jones & Bartlett Learning,3/15/17,James A. Johnson,Comparative Health Systems / Edition 2
American Health Information Management Association,1/1/12,Susan White,Principles of Finance for Health Information and Informatics Professionals / Edition 1
McGraw-Hill Higher Education,2/21/14,Shelley E Taylor,Health Psychology / Edition 9
Jones & Bartlett Learning,7/20/15,Bernard J. Turnock,Public Health / Edition 6
Pesa Publishing,5/3/15,Edward Ealing,"Shih Tzus Shih Tzu dog owners guide. Shih Tzu book for care, training & health."
Trivium Test Prep,8/11/16,PSB Health Occupations Exam Prep Team,PSB Health Occupations Study Guide: Exam Prep and Practice Test Questions for the PSB-HOAE Test
Internet Marketing Business,7/28/14,George Hoppendale,"Yorkies. the Ultimate Yorkie Dog Manual. Yorkies or Yorkshire Terriers Care, Costs, Feeding, Grooming, Health and Training All Included."
Pearson,6/22/16,Sherry Makely,Professionalism in Health Care / Edition 5
Jones & Bartlett Learning,1/16/15,Eileen E. Morrison,Ethics In Health Administration / Edition 3
Health Administration Press,5/1/10,Beaufort B. Longest,Health Policymaking in the United States / Edition 5
Feel Happy Limited,8/5/14,Alex Seymour,"French Bulldogs - Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Frenchie"
Jones & Bartlett Learning,3/11/15,Robert H. Friis,Occupational Health And Safety For The 21St Century
Jones & Bartlett Learning,9/27/12,Margie Lovett-Scott,Global Health Systems
F. A. Davis Company,11/26/14,Angela N. Hissong,Research for the Health Professional / Edition 3
"Rodale Press, Inc.",4/28/04,David Joachim,"Man, a Can, a Microwave: 50 Tasty Meals You Can Nuke in No Time"
Feel Happy Limited,12/8/16,Alex Seymour,"Dachshunds - The Owner's Guide From Puppy To Old Age - Choosing, Caring for, Grooming, Health, Training and Understanding Your Standard or Miniature Dachshund Dog"
F. A. Davis Company,7/13/09,Marjorie E. Scaffa,Occupational Therapy in the Promotion of Health and Wellness / Edition 1
Elsevier Health Sciences,10/2/13,Sharon Smith Murray,Study Guide for Foundations of Maternal-Newborn and Women's Health Nursing / Edition 6
Feel Happy Limited,5/17/14,Alex Seymour,"Shih Tzu Dogs - The Complete Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Shih Tzu."
Potter/TenSpeed/Harmony,2/23/16,Haylie Pomroy,Fast Metabolism Food Rx: 7 Powerful Prescriptions to Feed Your Body Back to Health
Springer Publishing Company,9/28/18,Denise Vanacore,Psychiatric Mental Health Nurse Practitioner Certification Review
Jones & Bartlett Learning,10/29/09,Judith A Ruple,Teaching Health Careers Education
West Academic,6/28/13,Barry R. Furrow,Health Law / Edition 7
HarperCollins Publishers,1/30/18,Ben Lynch,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health
Sterling,5/1/05,Eric R. Braverman,The Edge Effect: Achieve Total Health and Longevity with the Balanced Brain Advantage
Houghton Mifflin Harcourt,4/21/15,Melissa Hartwig,The Whole30: The 30-Day Guide to Total Health and Food Freedom
IMB Publishing,8/12/14,George Hoppendale,"The Miniature Australian Shepherd. The Ultimate Mini Australian Shepherd Manual Miniature Australian Shepherd care, costs, feeding, grooming, health and training all included."
Elsevier Health Sciences,12/14/17,Barbara Herlihy,Study Guide for The Human Body in Health and Illness
World Health Organization,1/28/14,World Health Organization,International Classification of Diseases for Oncology / Edition 3
Mayo Foundation,5/29/18,Scott C. Litin,Mayo Clinic Family Health Book
Gallery Books,10/31/17,Robyn Openshaw,"Vibe: Unlock the Energetic Frequencies of Limitless Health, Love & Success"
Elsevier Health Sciences,2/10/15,Deitra Leonard Lowdermilk,Study Guide for Maternity & Women's Health Care / Edition 11
Pearson,1/27/16,Christine N. Nathe,Dental Public Health and Research / Edition 4
Taylor & Francis,3/22/07,Cecil G. Helman,"Culture, Health and Illness, Fifth edition / Edition 5"
Jones & Bartlett Learning,10/17/12,Lanis Hicks,Economics Of Health And Medical Care / Edition 6
Internet Marketing Business,7/17/14,George Hoppendale,"Bernedoodles. The Ultimate Bernedoodle Dog Manual. Bernedoodle care, costs, feeding, grooming, health and training all included."
Storey Books,3/11/09,Heather Smith Thomas,The Cattle Health Handbook
Jones & Bartlett Learning,8/19/11,Michael H. Merson,Global Health / Edition 3
Pearson,2/5/13,James J. Neutens,Research Techniques for the Health Sciences / Edition 5
"Hay House, Inc.",4/17/18,Christiane Northrup,Dodging Energy Vampires: An Empath's Guide to Evading Relationships That Drain You and Restoring Your Health and Power
Elsevier Health Sciences,10/21/15,Marcia Stanhope,Public Health Nursing: Population-Centered Health Care in the Community / Edition 9
Potter/TenSpeed/Harmony,9/15/15,Pearl Barrett,Trim Healthy Mama Plan: The Easy-Does-It Approach to Vibrant Health and a Slim Waistline
"Little, Brown and Company",11/29/16,Mark Hyman,"The Eat Fat, Get Thin Cookbook: More Than 175 Delicious Recipes for Sustained Weight Loss and Vibrant Health"
Victory Belt Publishing,10/3/17,Carolyn Ketchum,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health"
Johns Hopkins University Press,4/23/17,Nancy L. Mace,"The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Other Dementias, and Memory Loss"
Elsevier Health Sciences,10/28/14,Mary A. Nies,Community/Public Health Nursing: Promoting the Health of Populations / Edition 6
St. Martin's Press,10/3/17,Bandy X. Lee,The Dangerous Case of Donald Trump: 27 Psychiatrists and Mental Health Experts Assess a President
Wellness Unmasked Publishing,5/17/07,Bradley Nelson,"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love and Happiness"
New World Library,11/15/16,Valerie Ann Worwood,"The Complete Book of Essential Oils and Aromatherapy: Over 800 Natural, Nontoxic, and Fragrant Recipes to Create Health, Beauty, and Safe Home and Work Environments"
F. A. Davis Company,7/21/15,Christine L. Savage,Public Health Science and Nursing Practice: Caring for Populations / Edition 1
"Little, Brown and Company",2/23/16,Mark Hyman,"Eat Fat, Get Thin: Why the Fat We Eat Is the Key to Sustained Weight Loss and Vibrant Health"
F. A. Davis Company,6/30/14,Joanna Rowe Kaakinen,"Family Health Care Nursing: Theory, Practice, and Research / Edition 5"
Wiley,3/13/12,Patrick M. Lencioni,The Advantage: Why Organizational Health Trumps Everything Else in Business
Wagging Tail Press,11/6/17,Melina B. Jampolis M.D,"Spice Up, Slim Down: A guide to adding spice to your diet to improve your health and lose weight"
Victory Belt Publishing,12/12/17,Suzanne Ryan,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes"
Penguin Publishing Group,2/24/09,Richard H. Thaler,"Nudge: Improving Decisions about Health, Wealth, and Happiness"
Baker Publishing Group,8/4/15,Caroline Leaf,"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health"
HarperCollins Publishers,5/2/17,Joel Fuhrman,"Eat to Live Quick and Easy Cookbook: 131 Delicious Recipes for Fast and Sustained Weight Loss, Reversing Disease, and Lifelong Health"
Victory Belt Publishing,3/15/16,Maria Emmerich,Quick & Easy Ketogenic Cooking: Meal Plans and Time Saving Paleo Recipes to Inspire Health and Shed Weight
Callisto Media,1/21/15,Althea Press,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
Candlewick Press,8/8/14,Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"
American Health Information Management Association,7/1/16,Nanette B. Sayles,Health Information Management Technology: An Applied Approach / Edition 5
Victory Belt Publishing,9/6/16,Diane Sanfilippo,"Practical Paleo, 2nd Edition (Updated and Expanded): A Customized Approach to Health and a Whole-Foods Lifestyle"
"Rodale Press, Inc.",5/9/17,William Davis,Undoctored: Why Health Care Has Failed You and How You Can Become Smarter Than Your Doctor
"Hay House, Inc.",11/14/17,Joseph Mercola,Fat for Fuel Ketogenic Cookbook: Recipes and Ketogenic Keys to Health from a World-Class Doctor and an Internationally Renowned Chef
CreateSpace Publishing,2/2/11,Chef AJ,Unprocessed: How to Achieve Vibrant Health and Your Ideal Weight
McGraw-Hill Professional Publishing,2/29/16,Thomas S. Bodenheimer,"Understanding Health Policy: A Clinical Approach, Seventh Edition / Edition 7"
Arcas Publishing,10/21/15,Dorothy Calimeris,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health
Elsevier Health Sciences,10/14/16,Elizabeth M. Varcarolis,Essentials of Psychiatric Mental Health Nursing: A Communication Approach to Evidence-Based Care / Edition 3
Penguin Publishing Group,1/28/98,Dave Ramsey,Financial Peace Planner: A Step-by-Step Guide to Restoring Your Family's Financial Health
Fall River Press,1/30/16,Callisto Media,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
Storey Books,3/8/16,Hannah Crum,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea"
"Experiment, The",6/28/11,Gene Stone,Forks Over Knives: The Plant-Based Way to Health
"Rodale Press, Inc.",6/3/14,William Davis,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
HarperCollins Publishers,1/10/17,John W. James,"The Grief Recovery Handbook, 20th Anniversary Expanded Edition: The Action Program for Moving Beyond Death, Divorce, and Other Losses including Health, Career, and Faith"
Flatiron Books,1/3/17,Oprah Winfrey,"Food, Health, and Happiness: 115 On-Point Recipes for Great Meals and a Better Life"
"Health Communications, Incorporated",10/1/13,MD Ferguson,"Superhealing: Engaging Your Mind, Body, and Spirit to Create Optimal Health and Well-being"
HarperCollins Publishers,7/7/15,Toni Weschler,"Taking Charge of Your Fertility, 20th Anniversary Edition: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health"
HarperCollins Publishers,10/8/13,Joel Fuhrman,"Eat to Live Cookbook: 200 Delicious Nutrient-Rich Recipes for Fast and Sustained Weight Loss, Reversing Disease, and Lifelong Health"
Hachette Books,3/21/17,Ron Powers,No One Cares About Crazy People: The Chaos and Heartbreak of Mental Health in America
"Kirkton Press, Limited",8/1/94,Elaine Gottschall,Breaking the Vicious Cycle: Intestinal Health Through Diet
Penguin Publishing Group,8/31/10,T. R. Reid,"The Healing of America: A Global Quest for Better, Cheaper, and Fairer Health Care"
"Rodale Press, Inc.",6/4/13,John McDougall,"The Starch Solution: Eat the Foods You Love, Regain Your Health, and Lose the Weight for Good!"
Sterling Epicure,3/7/17,Summer Rayne Oakes,SugarDetoxMe: 100+ Recipes to Curb Cravings and Take Back Your Health
Da Capo Press,1/9/18,Daryl Gioffre,"Get Off Your Acid: 7 Steps in 7 Days to Lose Weight, Fight Inflammation, and Reclaim Your Health and Energy"
Atria Books/Beyond Words,2/20/18,Derek Rydall,"The Abundance Project: 40 Days to More Wealth, Health, Love, and Happiness"
Random House Publishing Group,8/23/16,Paul Thomas,The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years
"Rodale Press, Inc.",12/5/17,Eiko,Even the Stiffest People Can Do the Splits: A 4-Week Stretching Plan to Achieve Amazing Health
Callisto Media,3/20/13,Mendocino Press,Smoothie Recipe Book: 150 Smoothie Recipes Including Smoothies for Weight Loss and Smoothies for Optimum Health
"Little, Brown and Company",11/15/16,David Perlmutter,"The Grain Brain Whole Life Plan: Boost Brain Performance, Lose Weight, and Achieve Optimal Health"
Grand Central Publishing,9/10/13,Alexander Loyd,"The Healing Code: 6 Minutes to Heal the Source of Your Health, Success, or Relationship Issue"
PRH Grupo Editorial,8/9/16,Doctor Juan Rivera,Mejora tu salud de poquito a poco - Una guia completa de bienestar para ti y tu familia (Serie: Consulta con Doctor Juan) / Improve your Health: Little By Little
"Sounds True, Incorporated",1/1/18,Joel K. Kahn,The Plant-Based Solution: America's Healthy Heart Doc's Plan to Power Your Health
Lulu.com,7/20/14,Robert E. Hoyt,Health Informatics: Practical Guide for Healthcare and Information Technology Professionals / Edition 6
"Rodale Press, Inc.",3/15/16,Shawn Stevenson,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success"
Pearson,1/22/16,Rebecca J. Donatelle,"Health: The Basics, The MasteringHealth Edition / Edition 12"
"Rodale Press, Inc.",9/12/17,Tasneem Bhatia,"Super Woman Rx: Unlock the Secrets to Lasting Health, Your Perfect Weight, Energy, and Passion with Dr. Taz's Power Type Plans"
Pearson,3/12/12,Mary Ann Hogan,Pearson Reviews & Rationales: Child Health Nursing with Nursing Reviews & Rationales / Edition 3
Wiley,8/3/15,Karen Glanz,"Health Behavior: Theory, Research, and Practice / Edition 5"
Grand Central Publishing,12/27/16,Rip Esselstyn,"The Engine 2 Seven-Day Rescue Diet: Eat Plants, Lose Weight, Save Your Health"
Turner Publishing Company,3/28/14,Clinton Ober,Earthing: The most important health discovery ever!
Penguin Publishing Group,8/21/08,Donna Eden,"Energy Medicine: Balancing Your Body's Energies for Optimal Health, Joy, andVitalityUpdated and Expanded"
LWW,3/1/15,Gail A. Harkness,Community and Public Health Nursing: Evidence for Practice / Edition 2
F. A. Davis Company,9/28/10,Catana Brown,Occupational Therapy in Mental Health: A Vision for Participation / Edition 1
Penguin Publishing Group,9/20/16,Marco A. Borges,The 22-Day Revolution Cookbook: The Ultimate Resource for Unleashing the Life-Changing Health Benefits of a Plant-Based Diet
Grand Central Publishing,4/11/17,John Mackey,The Whole Foods Diet: The Lifesaving Plan for Health and Longevity
Potter/TenSpeed/Harmony,10/22/13,Deepak Chopra,"Super Brain: Unleashing the Explosive Power of Your Mind to Maximize Health, Happiness, and Spiritual Well-Being"
Random House Publishing Group,1/3/12,Christiane Northrup,The Wisdom of Menopause (Revised Edition): Creating Physical and Emotional Health During the Change
"Guilford Publications, Inc.",11/30/07,Stephen Rollnick,Motivational Interviewing in Health Care: Helping Patients Change Behavior / Edition 1
American Academy of Pediatrics,2/1/17,AAP,"Bright Futures: Guidelines for Health Supervision of Infants, Children, and Adolescents / Edition 4"
Morgan James Publishing,6/2/15,Jack Wolfson,The Paleo Cardiologist: The Natural Way to Heart Health
CreateSpace Publishing,2/25/17,Kristie H. Sullivan,Journey to Health: A Journey Worth Taking: Cooking Keto with Kristie
"Little, Brown and Company",9/9/14,David Perlmutter,The Grain Brain Cookbook: More Than 150 Life-Changing Gluten-Free Recipes to Transform Your Health
Da Capo Press,10/24/17,Joy Loverde,Who Will Take Care of Me When I'm Old?: Plan Now to Safeguard Your Health and Happiness in Old Age
"Rodale Press, Inc.",10/25/16,Adam Campbell,"The Men's Health Big Book of Exercises: Four Weeks to a Leaner, Stronger, More Muscular You!"
Jones & Bartlett Learning,4/2/07,Ruth Levine,Case Studies In Global Health: Millions Saved / Edition 1
Storey Books,9/3/08,Rosemary Gladstar,"Rosemary Gladstar's Herbal Recipes for Vibrant Health: 175 Teas, Tonics, Oils, Salves, Tinctures, and Other Natural Remedies for the Entire Family"
Fair Winds Press,6/1/17,Martina Slajerova,Quick Keto Meals in 30 Minutes or Less: 100 Easy Prep-and-Cook Low-Carb Recipes for Maximum Weight Loss and Improved Health
Red Wheel/Weiser,6/1/13,Julia Lawless,"The Encyclopedia of Essential Oils: The Complete Guide to the Use of Aromatic Oils in Aromatherapy, Herbalism, Health, and Well Being"
HarperCollins Publishers,12/26/17,Josh Axe,Eat Dirt: Why Leaky Gut May Be the Root Cause of Your Health Problems and 5 Surprising Steps to Cure It
Lippincott Williams & Wilkins,10/15/13,Carol Mattson Porth,Porth's Pathophysiology: Concepts of Altered Health States / Edition 9
"BenBella Books, Inc.",12/11/04,T. Colin Campbell,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-Term Health"
"Primal Nutrition, Inc.",12/1/16,Mark Sisson,"The New Primal Blueprint: Reprogram Your Genes for Effortless Weight Loss, Vibrant Health and Boundless Energy"
Chelsea Green Publishing,9/9/14,Hilary Boynton,The Heal Your Gut Cookbook: Nutrient-Dense Recipes for Intestinal Health Using the GAPS Diet
Wiley,12/31/08,Joe Vitale,"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More"
Penguin Publishing Group,5/3/16,Justin Sonnenburg,"The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long-term Health"
Fair Winds Press,11/21/17,Martina Slajerova,"Keto Slow Cooker & One-Pot Meals: Over 100 Simple & Delicious Low-Carb, Paleo and Primal Recipes for Weight Loss and Better Health"
Jones & Bartlett Learning,10/6/10,Susan B. Bastable,Health Professional As Educator: Principles Of Teaching And Learning
Knopf Doubleday Publishing Group,9/23/08,Gary Taubes,"Good Calories, Bad Calories: Fats, Carbs, and the Controversial Science of Diet and Health"
"Little, Brown and Company",12/30/14,Chris Kresser,"The Paleo Cure: Eat Right for Your Genes, Body Type, and Personal Health Needs -- Prevent and Reverse Disease, Lose Weight Effortlessly, and Look and Feel Better than Ever"
"BenBella Books, Inc.",10/10/17,Lani Muelrath,"The Mindful Vegan: A 30-Day Plan for Finding Health, Balance, Peace, and Happiness"
HarperCollins Publishers,1/21/03,Frederic Luskin,Forgive for Good: A Proven Prescription for Health and Happiness
"Hay House, Inc.",8/12/08,Esther Hicks,"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness"
"Rodale Press, Inc.",12/24/13,William Davis,"Wheat Belly 30-Minute (Or Less!) Cookbook: 200 Quick and Simple Recipes to Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
"Hay House, Inc.",1/9/18,Steven Lin,"The Dental Diet: The Surprising Link between Your Teeth, Real Food, and Life-Changing Natural Health"
F. A. Davis Company,10/25/16,Karyn I. Morgan,Essentials of Psychiatric Mental Health Nursing: Concepts of Care in Evidence-Based Practice / Edition 7
Quintessential Healing,3/15/16,Ann Boroch,The Candida Cure Cookbook: Delicious Recipes to Reset Your Health and Restore Your Vitality
"New Press, The",3/14/17,Mary Otto,"Teeth: The Story of Beauty, Inequality, and the Struggle for Oral Health in America"
Da Capo Press,6/30/15,Raphael Kellman,The Microbiome Diet: The Scientifically Proven Way to Restore Your Gut Health and Achieve Permanent Weight Loss
Johns Hopkins University Press,9/25/14,Donald A. Barr,"Health Disparities in the United States: Social Class, Race, Ethnicity, and Health / Edition 2"
Potter/TenSpeed/Harmony,2/7/17,Deepak Chopra,Super Genes: Unlock the Astonishing Power of Your DNA for Optimum Health and Well-Being
Johns Hopkins University Press,7/31/14,Tammi L. Shlotzhauer,Living with Rheumatoid Arthritis
Oxford University Press,7/13/16,Athena du Pre,Communicating About Health: Current Issues and Perspectives / Edition 5
HarperCollins Publishers,7/5/16,Emeran Mayer,"The Mind-Gut Connection: How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health"
"Norton, W. W. & Company, Inc.",11/15/16,David R. Montgomery,The Hidden Half of Nature: The Microbial Roots of Life and Health
Elsevier Health Sciences,9/2/13,Margaret Jordan Halter,Varcarolis' Foundations of Psychiatric Mental Health Nursing: A Clinical Approach / Edition 7
"Rodale Press, Inc.",12/24/12,William Davis MD,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
"Destiny Image, Inc.",11/17/15,Jordan Rubin,The Maker's Diet: The 40-day health experience that will change your life forever
American Bar Association,2/7/17,Sally Balch Hurme,"Get the Most Out of Retirement: Checklist for Happiness, Health, Purpose, and Financial Security"
"Rodale Press, Inc.",7/5/16,Stacy Sims,"ROAR: How to Match Your Food and Fitness to Your Unique Female Physiology for Optimum Performance, Great Health, and a Strong, Lean Body for Life"
"Rodale Press, Inc.",5/13/14,BJ Gaddour,"Men's Health Your Body is Your Barbell: No Gym. Just Gravity. Build a Leaner, Stronger, More Muscular You in 28 Days!"
Random House Publishing Group,12/30/08,Nancy Harmon Jenkins,The New Mediterranean Diet Cookbook: A Delicious Alternative for Lifelong Health
Whitaker House,3/10/09,Henry Wright,A More Excellent Way: Be in Health
"Little, Brown and Company",2/26/13,Mark Hyman MD,The Blood Sugar Solution Cookbook: More than 175 Ultra-Tasty Recipes for Total Health and Weight Loss
Baker Publishing Group,11/7/17,Dr. Caroline Leaf,"Switch On Your Brain Workbook: The Key to Peak Happiness, Thinking, and Health"
Elsevier Health Sciences,6/13/17,Betty L. Gahart,Gahart's 2018 Intravenous Medications: A Handbook for Nurses and Health Professionals / Edition 34
St. Martin's Press,4/28/09,Arthur Agatston,The South Beach Diet Supercharged: Faster Weight Loss and Better Health for Life
Random House Publishing Group,5/28/88,Barbara Ann Brennan,"Hands of Light: A Guide to Healing Through the Human Energy Field: A New Paradigm for the Human Being in Health, Relationship, and Disease (Bantam New Age Books)"
Penguin Publishing Group,10/10/17,Tero Isokauppila,Healing Mushrooms: A Practical and Culinary Guide to Using Mushrooms for Whole Body Health
St. Martin's Press,12/27/16,Belisa Vranich,"Breathe: The Simple, Revolutionary 14-Day Program to Improve Your Mental and Physical Health"
Balboa Press,8/16/13,Bryant A. Meyers,PEMF - The Fifth Element of Health: Learn Why Pulsed Electromagnetic Field (PEMF) Therapy Supercharges Your Health Like Nothing Else!
F. A. Davis Company,10/19/17,Mary C. Townsend,Psychiatric Mental Health Nursing: Concepts of Care in Evidence-Based Practice / Edition 9
Random House Publishing Group,12/30/08,Dean Ornish,"Spectrum: A Scientifically Proven Program to Feel Better, Live Longer, Lose Weight, and Gain Health"
Callisto Media,4/7/15,Karen Frazier,Hashimoto's Cookbook and Action Plan: 31 Days to Eliminate Toxins and Restore Thyroid Health Through Diet
Jones & Bartlett Learning,10/27/09,Donald Lighter,Advanced Performance Improvement In Health Care: Principles And Methods
West Academic,6/6/13,Barry R. Furrow,"Health Law: Cases, Materials and Problems, 7th / Edition 7"
American Health Information Management Association,7/1/16,Pamela K. Oachs,"Health Information Management: Concepts, Principles, and Practice / Edition 5"
CreateSpace Publishing,12/8/16,Pam Farley,"Essential Oil Diffuser Recipes: 100+ of the best aromatherapy blends for home, health, and family"
"Rodale Press, Inc.",10/25/16,Adam Campbell,"The Women's Health Big Book of Exercises: Four Weeks to a Leaner, Sexier, Healthier You!"
Grand Central Publishing,12/29/15,Lyn-Genet Recitas,The Plan Cookbook: More Than 150 Recipes for Vibrant Health and Weight Loss
"Rodale Press, Inc.",11/21/17,Editors of Prevention,Prevention Mediterranean Table: 100 Vibrant Recipes to Savor and Share for Lifelong Health
"Norton, W. W. & Company, Inc.",11/7/11,Carolyn Costin,8 Keys to Recovery from an Eating Disorder: Effective Strategies from Therapeutic Practice and Personal Experience
Elsevier Health Sciences,11/2/12,Gloria Leifer,Growth and Development Across the Lifespan: A Health Promotion Focus / Edition 2
CreateSpace Publishing,5/24/14,Brooke Goldner M.D.,Green Smoothie Recipes to Kick-Start Your Health and Healing: Based On the Best-Selling Book Goodbye Lupus
"Rodale Press, Inc.",9/13/16,William Davis,Wheat Belly Total Health: The Ultimate Grain-Free Health and Weight-Loss Life Plan
"Little, Brown and Company",5/20/14,Jo Robinson,Eating on the Wild Side: The Missing Link to Optimum Health
"SLACK, Incorporated",4/1/15,Nancy Lowenstein,Case Studies Through the Health Care Continuum: A Workbook for the Occupational Therapy Student / Edition 2
St. Martin's Press,4/15/98,Joel Fuhrman,Fasting and Eating for Health: A Medical Doctor's Program for Conquering Disease
Trafalgar Square,10/10/17,Susan Kauffmann,"The Essential Hoof Book: The Complete Modern Guide to Horse Feet - Anatomy, Care and Health, Disease Diagnosis and Treatment"
Houghton Mifflin Harcourt,1/5/16,Kristina Carrillo-Bucaram,"The Fully Raw Diet: 21 Days to Better Health, with Meal and Exercise Plans, Tips, and 75 Recipes"
Jones & Bartlett Learning,10/31/13,Mark Edberg,Essentials Of Health Behavior: Social And Behavioral Theory In Public Health / Edition 2
HarperCollins Publishers,5/1/18,Amy Medling,Healing PCOS: A 21-Day Plan for Reclaiming Your Health and Life with Polycystic Ovary Syndrome
American Academy of Pediatrics,3/1/17,Joseph F. Hagan,"Bright Futures: Guidelines Pocket Guide: Guidelines for Health Supervision of Infants, Children, and Adolescents"
Callisto Media,6/21/16,Anne Kennedy,The Portable Essential Oils: A Pocket Reference of Everyday Remedies for Natural Health & Wellness
